"","Continent","Type","Cod_DriveTrain","MSRP","Invoice","EngineSize","Cylinders","Horsepower","MPG_City","MPG_Highway","Weight","Wheelbase","Length","Lib_Model","Lib_Make"
"1","Asia","Sedan",1,43755,39014,3.5,6,225,18,24,3880,115,197,"3.5 RL 4dr","Acura"
"2","Asia","Sedan",1,461,411,3.5,6,225,18,24,3893,115,197,"3.5 RL w/Navigation 4dr","Audi"
"3","Asia","SUV",3,36945,33337,3.5,6,265,17,23,4451,106,189,"MDX","BMW"
"4","Asia","Sports",2,89765,79978,3.2,6,290,17,24,3153,100,174,"NSX coupe 2dr manual S","Buick"
"5","Asia","Sedan",1,2382,21761,2,4,200,24,31,2778,101,172,"RSX Type S 2dr","Cadillac"
"6","Asia","Sedan",1,33195,30299,3.2,6,270,20,28,3575,108,186,"TL 4dr","Chevrolet"
"7","Asia","Sedan",1,2699,24647,2.4,4,200,22,29,3230,105,183,"TSX 4dr","Chrysler"
"8","Europe","Sedan",1,2594,23508,1.8,4,170,22,31,3252,104,179,"A4 1.8T 4dr","Dodge"
"9","Europe","Sedan",1,3184,28846,3,6,220,20,28,3462,104,179,"A4 3.0 4dr","Ford"
"10","Europe","Sedan",3,3448,31388,3,6,220,18,25,3627,104,179,"A4 3.0 Quattro 4dr auto","GMC"
"11","Europe","Sedan",3,3343,30366,3,6,220,17,26,3583,104,179,"A4 3.0 Quattro 4dr manual","Honda"
"12","Europe","Sedan",3,4424,40075,3,6,220,18,25,4013,105,180,"A4 3.0 Quattro convertible 2dr","Hummer"
"13","Europe","Sedan",1,4249,38325,3,6,220,20,27,3814,105,180,"A4 3.0 convertible 2dr","Hyundai"
"14","Europe","Sedan",1,3594,32506,1.8,4,170,23,30,3638,105,180,"A41.8T convertible 2dr","Infiniti"
"15","Europe","Sedan",3,4284,3884,2.7,6,250,18,25,3836,109,192,"A6 2.7 Turbo Quattro 4dr","Isuzu"
"16","Europe","Sedan",1,3664,33129,3,6,220,20,27,3561,109,192,"A6 3.0 4dr","Jaguar"
"17","Europe","Wagon",3,4084,3706,3,6,220,18,25,4035,109,192,"A6 3.0 Avant Quattro","Jeep"
"18","Europe","Sedan",3,3964,35992,3,6,220,18,25,3880,109,192,"A6 3.0 Quattro 4dr","Kia"
"19","Europe","Sedan",3,4969,44936,4.2,8,300,17,24,4024,109,193,"A6 4.2 Quattro 4dr","Land Rover"
"20","Europe","Sedan",3,6919,6474,4.2,8,330,17,24,4399,121,204,"A8 L Quattro 4dr","Lexus"
"21","Europe","Sports",1,846,76417,4.2,8,450,15,22,4024,109,191,"RS 6 4dr","Lincoln"
"22","Europe","Wagon",3,4909,44446,4.2,8,340,15,21,3936,104,179,"S4 Avant Quattro","MINI"
"23","Europe","Sedan",3,4804,43556,4.2,8,340,14,20,3825,104,179,"S4 Quattro 4dr","Mazda"
"24","Europe","Sports",3,3739,33891,1.8,4,225,20,28,2921,96,159,"TT 1.8 Quattro 2dr (convertible)","Mercedes-Benz"
"25","Europe","Sports",1,3594,32512,1.8,4,180,20,28,3131,95,159,"TT 1.8 convertible 2dr (coupe)","Mercury"
"26","Europe","Sports",3,4059,36739,3.2,6,250,21,29,3351,96,159,"TT 3.2 coupe 2dr (convertible)","Mitsubishi"
"27","Europe","Sedan",2,30795,28245,2.5,6,184,20,29,3197,107,177,"325Ci 2dr","Nissan"
"28","Europe","Sedan",2,37995,348,2.5,6,184,19,27,3560,107,177,"325Ci convertible 2dr","Oldsmobile"
"29","Europe","Sedan",2,28495,26155,2.5,6,184,20,29,3219,107,176,"325i 4dr","Pontiac"
"30","Europe","Sedan",3,30245,27745,2.5,6,184,19,27,3461,107,176,"325xi 4dr","Porsche"
"31","Europe","Wagon",3,32845,3011,2.5,6,184,19,26,3594,107,176,"325xi Sport","Porsche"
"32","Europe","Sedan",2,36995,3389,3,6,225,20,30,3285,107,176,"330Ci 2dr","Saab"
"33","Europe","Sedan",2,44295,4053,3,6,225,19,28,3616,107,177,"330Ci convertible 2dr","Saturn"
"34","Europe","Sedan",2,35495,32525,3,6,225,20,30,3285,107,176,"330i 4dr","Scion"
"35","Europe","Sedan",3,37245,34115,3,6,225,20,29,3483,107,176,"330xi 4dr","Subaru"
"36","Europe","Sedan",2,39995,3662,2.5,6,184,19,28,3428,114,191,"525i 4dr","Suzuki"
"37","Europe","Sedan",2,44995,4117,3,6,225,20,30,3472,114,191,"530i 4dr","Toyota"
"38","Europe","Sedan",2,54995,5027,4.4,8,325,18,26,3814,114,191,"545iA 4dr","Volkswagen"
"39","Europe","Sedan",2,73195,6683,4.4,8,325,18,26,4464,123,204,"745Li 4dr","Volvo"
"40","Europe","Sedan",2,69195,6319,4.4,8,325,18,26,4376,118,198,"745i 4dr","BMW"
"41","Europe","Sports",2,56595,51815,3.2,6,333,16,23,3781,108,177,"M3 convertible 2dr","BMW"
"42","Europe","Sports",2,48195,4417,3.2,6,333,16,24,3415,108,177,"M3 coupe 2dr","BMW"
"43","Europe","SUV",3,37,33873,3,6,225,16,23,4023,110,180,"X3 3.0i","BMW"
"44","Europe","SUV",3,52195,4772,4.4,8,325,16,22,4824,111,184,"X5 4.4i","BMW"
"45","Europe","Sports",2,33895,31065,2.5,6,184,20,28,2932,98,161,"Z4 convertible 2.5i 2dr","BMW"
"46","Europe","Sports",2,41045,37575,3,6,225,21,29,2998,98,161,"Z4 convertible 3.0i 2dr","BMW"
"47","USA","Sedan",1,2218,20351,3.1,6,175,20,30,3353,109,195,"Century Custom 4dr","Buick"
"48","USA","Sedan",1,2647,24282,3.8,6,205,20,29,3567,112,200,"LeSabre Custom 4dr","Buick"
"49","USA","Sedan",1,32245,29566,3.8,6,205,20,29,3591,112,200,"LeSabre Limited 4dr","Buick"
"50","USA","Sedan",1,35545,32244,3.8,6,205,20,29,3778,114,207,"Park Avenue 4dr","Buick"
"51","USA","Sedan",1,4072,36927,3.8,6,240,18,28,3909,114,207,"Park Avenue Ultra 4dr","Buick"
"52","USA","SUV",3,37895,34357,4.2,6,275,15,21,4600,113,193,"Rainier","Buick"
"53","USA","Sedan",1,28345,26047,3.8,6,240,18,28,3536,109,196,"Regal GS 4dr","Buick"
"54","USA","Sedan",1,24895,22835,3.8,6,200,20,30,3461,109,196,"Regal LS 4dr","Buick"
"55","USA","SUV",1,26545,24085,3.4,6,185,19,26,4024,112,187,"Rendezvous CX","Buick"
"56","USA","Sedan",2,30835,28575,3.6,6,255,18,25,3694,113,190,"CTS VVT 4dr","Cadillac"
"57","USA","Sedan",1,45445,4165,4.6,8,275,18,26,3984,115,207,"Deville 4dr","Cadillac"
"58","USA","Sedan",1,50595,46362,4.6,8,300,18,26,4044,115,207,"Deville DTS 4dr","Cadillac"
"59","USA","SUV",1,52795,48377,5.3,8,295,14,18,5367,116,199,"Escalade","Cadillac"
"60","USA","Truck",3,52975,48541,6,8,345,13,17,5879,130,221,"Escalade EXT","Cadillac"
"61","USA","SUV",1,46995,43523,4.6,8,320,16,21,4302,116,195,"SRX V8","Cadillac"
"62","USA","Sedan",1,47955,43841,4.6,8,275,18,26,3992,112,201,"Seville SLS 4dr","Cadillac"
"63","USA","Sports",2,762,70546,4.6,8,320,17,25,3647,106,178,"XLR convertible 2dr","Cadillac"
"64","USA","Sedan",3,26395,23954,4.3,6,190,14,17,4605,111,190,"Astro","Chevrolet"
"65","USA","Truck",3,361,31689,5.3,8,295,14,18,5678,130,222,"Avalanche 1500","Chevrolet"
"66","USA","Sedan",1,1169,10965,1.6,4,103,28,34,2370,98,167,"Aveo 4dr","Chevrolet"
"67","USA","Sedan",1,12585,11802,1.6,4,103,28,34,2348,98,153,"Aveo LS 4dr hatch","Chevrolet"
"68","USA","Sedan",1,1461,13697,2.2,4,140,26,37,2617,104,183,"Cavalier 2dr","Chevrolet"
"69","USA","Sedan",1,1481,13884,2.2,4,140,26,37,2676,104,183,"Cavalier 4dr","Chevrolet"
"70","USA","Sedan",1,16385,15357,2.2,4,140,26,37,2617,104,183,"Cavalier LS 2dr","Chevrolet"
"71","USA","Truck",3,1876,1707,2.8,4,175,18,23,3623,111,192,"Colorado Z85","Chevrolet"
"72","USA","Sports",2,44535,39068,5.7,8,350,18,25,3246,105,180,"Corvette 2dr","Chevrolet"
"73","USA","Sports",2,51535,45193,5.7,8,350,18,25,3248,105,180,"Corvette convertible 2dr","Chevrolet"
"74","USA","Sedan",1,219,20095,3.4,6,180,21,32,3465,111,200,"Impala 4dr","Chevrolet"
"75","USA","Sedan",1,25,22931,3.8,6,200,20,30,3476,111,200,"Impala LS 4dr","Chevrolet"
"76","USA","Sedan",1,27995,25672,3.8,6,240,18,28,3606,111,200,"Impala SS 4dr","Chevrolet"
"77","USA","Sedan",1,18995,17434,2.2,4,145,24,34,3174,106,188,"Malibu 4dr","Chevrolet"
"78","USA","Sedan",1,2037,18639,3.5,6,200,22,30,3297,106,188,"Malibu LS 4dr","Chevrolet"
"79","USA","Sedan",1,23495,21551,3.5,6,200,23,32,3315,106,188,"Malibu LT 4dr","Chevrolet"
"80","USA","Wagon",1,22225,20394,3.5,6,200,22,30,3458,112,188,"Malibu Maxx LS","Chevrolet"
"81","USA","Sedan",1,21825,20026,3.4,6,180,21,32,3340,111,198,"Monte Carlo LS 2dr","Chevrolet"
"82","USA","Sedan",1,24225,22222,3.8,6,200,18,28,3434,111,198,"Monte Carlo SS 2dr","Chevrolet"
"83","USA","Truck",2,41995,39306,5.3,8,300,16,19,4760,116,191,"SSR","Chevrolet"
"84","USA","Truck",2,2031,1848,4.3,6,200,15,21,4142,119,206,"Silverado 1500 Regular Cab","Chevrolet"
"85","USA","Truck",3,4034,35399,6,8,300,13,17,4804,144,238,"Silverado SS","Chevrolet"
"86","USA","SUV",1,42735,37422,5.3,8,295,14,18,4947,130,219,"Suburban 1500 LT","Chevrolet"
"87","USA","SUV",3,41465,36287,5.3,8,295,14,18,5050,116,197,"Tahoe LT","Chevrolet"
"88","USA","SUV",1,20255,19108,2.5,6,165,19,22,2866,98,163,"Tracker","Chevrolet"
"89","USA","SUV",1,30295,27479,4.2,6,275,16,21,4425,113,192,"TrailBlazer LT","Chevrolet"
"90","USA","Sedan",1,2702,24518,3.4,6,185,19,26,3699,112,187,"Venture LS","Chevrolet"
"91","USA","Sedan",1,29865,27797,3.5,6,250,18,27,3581,113,198,"300M 4dr","Chrysler"
"92","USA","Sedan",1,33295,30884,3.5,6,255,18,27,3650,113,198,"300M Special Edition 4dr","Chrysler"
"93","USA","Sedan",1,2413,22452,2.7,6,200,21,29,3479,113,208,"Concorde LX 4dr","Chrysler"
"94","USA","Sedan",1,2686,24909,3.5,6,232,19,27,3548,113,208,"Concorde LXi 4dr","Chrysler"
"95","USA","Sports",2,34495,32033,3.2,6,215,17,25,3060,95,160,"Crossfire 2dr","Chrysler"
"96","USA","Sedan",1,17985,16919,2.4,4,150,22,29,3101,103,169,"PT Cruiser 4dr","Chrysler"
"97","USA","Sedan",1,25955,24172,2.4,4,220,21,27,3217,103,169,"PT Cruiser GT 4dr","Chrysler"
"98","USA","Sedan",1,22,20573,2.4,4,150,22,29,3105,103,169,"PT Cruiser Limited 4dr","Chrysler"
"99","USA","Wagon",2,3123,28725,3.5,6,250,17,23,4675,116,199,"Pacifica","Chrysler"
"100","USA","Sedan",1,1909,17805,2.4,4,150,22,30,3173,108,191,"Sebring 4dr","Chrysler"
"101","USA","Sedan",1,3095,28613,2.7,6,200,21,28,3448,106,194,"Sebring Limited convertible 2dr","Chrysler"
"102","USA","Sedan",1,2184,20284,2.7,6,200,21,28,3222,108,191,"Sebring Touring 4dr","Chrysler"
"103","USA","Sedan",1,25215,23451,2.4,4,150,22,30,3357,106,194,"Sebring convertible 2dr","Chrysler"
"104","USA","Sedan",1,2749,25371,3.3,6,180,19,26,4068,119,201,"Town and Country LX","Chrysler"
"105","USA","Sedan",1,3838,35063,3.8,6,215,18,25,4331,119,201,"Town and Country Limited","Chrysler"
"106","USA","Sedan",1,21795,20508,2.4,4,150,20,26,3862,113,189,"Caravan SE","Dodge"
"107","USA","Truck",2,203,1867,3.7,6,210,16,22,3829,131,219,"Dakota Club Cab","Dodge"
"108","USA","Truck",2,1763,16264,3.7,6,210,16,22,3714,112,193,"Dakota Regular Cab","Dodge"
"109","USA","SUV",3,32235,29472,4.7,8,230,15,21,4987,119,201,"Durango SLT","Dodge"
"110","USA","Sedan",3,3266,29812,3.8,6,215,18,25,4440,119,201,"Grand Caravan SXT","Dodge"
"111","USA","Sedan",1,24885,23058,3.5,6,232,18,27,3487,113,204,"Intrepid ES 4dr","Dodge"
"112","USA","Sedan",1,22035,20502,2.7,6,200,21,29,3469,113,204,"Intrepid SE 4dr","Dodge"
"113","USA","Sedan",1,1367,12849,2,4,132,29,36,2581,105,174,"Neon SE 4dr","Dodge"
"114","USA","Sedan",1,1504,14086,2,4,132,29,36,2626,105,174,"Neon SXT 4dr","Dodge"
"115","USA","Truck",2,20215,18076,3.7,6,215,16,21,4542,121,208,"Ram 1500 Regular Cab ST","Dodge"
"116","USA","Sedan",1,2022,18821,2.4,4,150,21,28,3175,108,191,"Stratus SE 4dr","Dodge"
"117","USA","Sedan",1,1882,17512,2.4,4,150,21,28,3182,108,191,"Stratus SXT 4dr","Dodge"
"118","USA","Sports",2,81795,74451,8.3,10,500,12,20,3410,99,176,"Viper SRT-10 convertible 2dr","Dodge"
"119","USA","Sedan",2,24345,22856,4.6,8,224,17,25,4057,115,212,"Crown Victoria 4dr","Ford"
"120","USA","Sedan",2,2737,25105,4.6,8,224,17,25,4057,115,212,"Crown Victoria LX 4dr","Ford"
"121","USA","Sedan",2,30315,27756,4.6,8,239,17,25,4057,115,212,"Crown Victoria LX Sport 4dr","Ford"
"122","USA","SUV",3,22515,20907,3,6,201,18,23,3346,103,173,"Escape XLS","Ford"
"123","USA","SUV",3,41475,36494,6.8,10,310,10,13,7190,137,227,"Excursion 6.8 XLT","Ford"
"124","USA","SUV",1,3456,30468,4.6,8,232,15,19,5000,119,206,"Expedition 4.6 XLT","Ford"
"125","USA","SUV",3,2967,26983,4,6,210,15,20,4463,114,190,"Explorer XLT V6","Ford"
"126","USA","Truck",2,2201,1949,4.6,8,231,15,19,4788,126,211,"F-150 Regular Cab XL","Ford"
"127","USA","Truck",3,3354,29405,5.4,8,300,14,18,5464,133,218,"F-150 Supercab Lariat","Ford"
"128","USA","Sedan",1,1373,12906,2,4,110,27,36,2606,103,168,"Focus LX 4dr","Ford"
"129","USA","Sedan",1,1546,14496,2,4,130,26,33,2606,103,168,"Focus SE 4dr","Ford"
"130","USA","Sedan",1,19135,17878,2,4,170,21,28,2750,103,168,"Focus SVT 2dr","Ford"
"131","USA","Wagon",1,17475,16375,2,4,130,26,33,2702,103,178,"Focus ZTW","Ford"
"132","USA","Sedan",1,1327,12482,2,4,130,26,33,2612,103,168,"Focus ZX3 2dr hatch","Ford"
"133","USA","Sedan",1,1558,14607,2,4,130,26,33,2691,103,168,"Focus ZX5 5dr","Ford"
"134","USA","Sedan",1,2693,24498,3.9,6,193,17,23,4275,121,201,"Freestar SE","Ford"
"135","USA","Sports",2,18345,16943,3.8,6,193,20,29,3290,101,183,"Mustang 2dr (convertible)","Ford"
"136","USA","Sports",2,2938,26875,4.6,8,260,17,25,3347,101,183,"Mustang GT Premium convertible 2dr","Ford"
"137","USA","Truck",2,14385,13717,2.3,4,143,24,29,3028,111,188,"Ranger 2.3 XL Regular Cab","Ford"
"138","USA","Sedan",1,2032,18881,3,6,155,20,27,3306,109,198,"Taurus LX 4dr","Ford"
"139","USA","Wagon",1,2229,20457,3,6,155,19,26,3497,109,198,"Taurus SE","Ford"
"140","USA","Sedan",1,22735,20857,3,6,201,19,26,3313,109,198,"Taurus SES Duratec 4dr","Ford"
"141","USA","Sports",1,3753,34483,3.9,8,280,17,24,3780,107,186,"Thunderbird Deluxe convert w/hardtop 2d","Ford"
"142","USA","Truck",2,1653,14877,2.8,4,175,18,25,3351,111,192,"Canyon Z85 SL Regular Cab","GMC"
"143","USA","SUV",1,3189,28922,4.2,6,275,15,19,4945,129,208,"Envoy XUV SLE","GMC"
"144","USA","Sedan",2,2564,23215,4.3,6,190,16,20,4309,111,190,"Safari SLE","GMC"
"145","USA","Truck",2,25717,22604,4.8,8,285,17,20,4548,144,230,"Sierra Extended Cab 1500","GMC"
"146","USA","Truck",3,29322,25759,6,8,300,13,18,5440,133,222,"Sierra HD 2500","GMC"
"147","USA","Truck",3,25395,23043,4.3,6,190,15,19,4083,123,208,"Sonoma Crew Cab","GMC"
"148","USA","SUV",1,35725,31361,4.8,8,285,16,19,5042,116,199,"Yukon 1500 SLE","GMC"
"149","USA","SUV",3,46265,40534,6,8,325,13,17,6133,130,219,"Yukon XL 2500 SLT","GMC"
"150","Asia","Sedan",1,2226,2008,2.4,4,160,26,34,3047,105,188,"Accord EX 2dr","Honda"
"151","Asia","Sedan",1,2696,24304,3,6,240,21,30,3294,105,188,"Accord EX V6 2dr","Honda"
"152","Asia","Sedan",1,1986,17924,2.4,4,160,26,34,2994,105,188,"Accord LX 2dr","Honda"
"153","Asia","Sedan",1,2376,21428,3,6,240,21,30,3349,108,190,"Accord LX V6 4dr","Honda"
"154","Asia","SUV",3,1986,18419,2.4,4,160,21,25,3258,103,179,"CR-V LX","Honda"
"155","Asia","Sedan",1,1327,12175,1.7,4,115,32,38,2432,103,175,"Civic DX 2dr","Honda"
"156","Asia","Sedan",1,1775,16265,1.7,4,127,32,37,2601,103,175,"Civic EX 4dr","Honda"
"157","Asia","Sedan",1,1417,12996,1.7,4,117,36,44,2500,103,175,"Civic HX 2dr","Honda"
"158","Asia","Hybrid",1,2014,18451,1.4,4,93,46,51,2732,103,175,"Civic Hybrid 4dr manual (gas/electric)","Honda"
"159","Asia","Sedan",1,1585,14531,1.7,4,115,32,38,2513,103,175,"Civic LX 4dr","Honda"
"160","Asia","Sedan",1,1949,17849,2,4,160,26,30,2782,101,166,"Civic Si 2dr hatch","Honda"
"161","Asia","SUV",3,1869,17334,2.4,4,160,21,24,3468,101,167,"Element LX","Honda"
"162","Asia","Hybrid",1,1911,17911,2,3,73,60,66,1850,95,155,"Insight 2dr (gas/electric)","Honda"
"163","Asia","Sedan",1,2745,24744,3.5,6,240,18,25,4365,118,201,"Odyssey EX","Honda"
"164","Asia","Sedan",1,2495,22498,3.5,6,240,18,25,4310,118,201,"Odyssey LX","Honda"
"165","Asia","SUV",3,2756,24843,3.5,6,240,17,22,4387,106,188,"Pilot LX","Honda"
"166","Asia","Sports",2,3326,29965,2.2,4,240,20,25,2835,95,162,"S2000 convertible 2dr","Honda"
"167","USA","SUV",3,49995,45815,6,8,316,10,12,6400,123,190,"H2","Hummer"
"168","Asia","Sedan",1,10539,10107,1.6,4,103,29,33,2255,96,167,"Accent 2dr hatch","Hyundai"
"169","Asia","Sedan",1,11839,11116,1.6,4,103,29,33,2290,96,167,"Accent GL 4dr","Hyundai"
"170","Asia","Sedan",1,11939,11209,1.6,4,103,29,33,2339,96,167,"Accent GT 2dr hatch","Hyundai"
"171","Asia","Sedan",1,13839,12781,2,4,138,26,34,2635,103,178,"Elantra GLS 4dr","Hyundai"
"172","Asia","Sedan",1,15389,14207,2,4,138,26,34,2635,103,178,"Elantra GT 4dr","Hyundai"
"173","Asia","Sedan",1,15389,14207,2,4,138,26,34,2698,103,178,"Elantra GT 4dr hatch","Hyundai"
"174","Asia","SUV",1,21589,20201,2.7,6,173,20,26,3549,103,177,"Santa Fe GLS","Hyundai"
"175","Asia","Sedan",1,19339,17574,2.7,6,170,19,27,3217,106,187,"Sonata GLS 4dr","Hyundai"
"176","Asia","Sedan",1,20339,1838,2.7,6,170,19,27,3217,106,187,"Sonata LX 4dr","Hyundai"
"177","Asia","Sports",1,18739,17101,2.7,6,172,19,26,3023,100,173,"Tiburon GT V6 2dr","Hyundai"
"178","Asia","Sedan",1,24589,22055,3.5,6,194,17,26,3651,108,192,"XG350 4dr","Hyundai"
"179","Asia","Sedan",1,26189,23486,3.5,6,194,17,26,3651,108,192,"XG350 L 4dr","Hyundai"
"180","Asia","Wagon",2,34895,31756,3.5,6,280,16,22,4056,112,189,"FX35","Infiniti"
"181","Asia","Wagon",3,36395,33121,4.5,8,315,15,19,4309,112,189,"FX45","Infiniti"
"182","Asia","Sedan",2,28495,26157,3.5,6,260,18,26,3336,112,187,"G35 4dr","Infiniti"
"183","Asia","Sedan",3,32445,29783,3.5,6,260,18,26,3677,112,187,"G35 Sport Coupe 2dr","Infiniti"
"184","Asia","Sedan",2,29795,27536,3.5,6,280,18,26,3416,112,182,"I35 4dr","Infiniti"
"185","Asia","Sedan",1,31145,2832,3.5,6,255,19,26,3306,108,194,"M45 4dr","Infiniti"
"186","Asia","Sedan",2,42845,38792,4.5,8,340,17,23,3851,110,197,"Q45 Luxury 4dr","Infiniti"
"187","Asia","Sedan",2,52545,47575,4.5,8,340,17,23,3977,113,200,"Ascender S","Isuzu"
"188","Asia","SUV",3,31849,29977,4.2,6,275,15,20,4967,129,208,"Rodeo S","Isuzu"
"189","Asia","SUV",1,20449,19261,3.2,6,193,17,21,3836,106,178,"S-Type 3.0 4dr","Jaguar"
"190","Europe","Sedan",2,43895,40004,3,6,235,18,26,3777,115,192,"S-Type 4.2 4dr","Jaguar"
"191","Europe","Sedan",2,49995,45556,4.2,8,294,18,28,3874,115,192,"S-Type R 4dr","Jaguar"
"192","Europe","Sedan",2,6312,57499,4.2,8,390,17,24,4046,115,192,"Vanden Plas 4dr","Jaguar"
"193","Europe","Sedan",2,68995,62846,4.2,8,294,18,28,3803,119,200,"X-Type 2.5 4dr","Jaguar"
"194","Europe","Sedan",3,29995,27355,2.5,6,192,18,26,3428,107,184,"X-Type 3.0 4dr","Jaguar"
"195","Europe","Sedan",3,33995,30995,3,6,227,18,25,3516,107,184,"XJ8 4dr","Jaguar"
"196","Europe","Sedan",2,59995,54656,4.2,8,294,18,28,3803,119,200,"XJR 4dr","Jaguar"
"197","Europe","Sedan",2,74995,68306,4.2,8,390,17,24,3948,119,200,"XK8 convertible 2dr","Jaguar"
"198","Europe","Sports",2,74995,68306,4.2,8,294,18,26,3980,102,187,"XK8 coupe 2dr","Jaguar"
"199","Europe","Sports",2,69995,63756,4.2,8,294,18,26,3779,102,187,"XKR convertible 2dr","Jaguar"
"200","Europe","Sports",2,86995,79226,4.2,8,390,16,23,4042,102,187,"XKR coupe 2dr","Jaguar"
"201","Europe","Sports",2,81995,74676,4.2,8,390,16,23,3865,102,187,"Grand Cherokee Laredo","Jeep"
"202","USA","SUV",1,27905,25686,4,6,195,16,21,3790,106,181,"Liberty Sport","Jeep"
"203","USA","SUV",3,2013,18973,2.4,4,150,20,24,3826,104,174,"Wrangler Sahara convertible 2dr","Jeep"
"204","USA","SUV",3,2552,23275,4,6,190,16,19,3575,93,150,"Amanti 4dr","Kia"
"205","Asia","Sedan",1,26,23764,3.5,6,195,17,25,4021,110,196,"Optima LX 4dr","Kia"
"206","Asia","Sedan",1,1604,1491,2.4,4,138,23,30,3281,106,186,"Optima LX V6 4dr","Kia"
"207","Asia","Sedan",1,18435,1685,2.7,6,170,20,27,3279,106,186,"Rio 4dr auto","Kia"
"208","Asia","Sedan",1,11155,10705,1.6,4,104,25,32,2458,95,167,"Rio 4dr manual","Kia"
"209","Asia","Sedan",1,1028,9875,1.6,4,104,26,33,2403,95,167,"Rio Cinco","Kia"
"210","Asia","Wagon",1,11905,1141,1.6,4,104,26,33,2447,95,167,"Sedona LX","Kia"
"211","Asia","Sedan",1,20615,194,3.5,6,195,16,22,4802,115,194,"Sorento LX","Kia"
"212","Asia","SUV",1,19635,1863,3.5,6,192,16,19,4112,107,180,"Spectra 4dr","Kia"
"213","Asia","Sedan",1,1236,1163,1.8,4,124,24,32,2661,101,178,"Spectra GS 4dr hatch","Kia"
