"","Continent","Type","Cod_DriveTrain","MSRP","Invoice","EngineSize","Cylinders","Horsepower","MPG_City","MPG_Highway","Weight","Wheelbase","Length","Lib_Model","Lib_Make"
"214","Asia","Sedan",1,1358,1283,1.8,4,124,24,32,2686,101,178,"Spectra GSX 4dr hatch","Kia"
"215","Asia","Sedan",1,1463,1379,1.8,4,124,24,32,2697,101,178,"Discovery SE","Land Rover"
"216","Europe","SUV",3,3925,35777,4.6,8,217,12,16,4576,100,185,"Freelander SE","Land Rover"
"217","Europe","SUV",3,25995,23969,2.5,6,174,18,21,3577,101,175,"Range Rover HSE","Land Rover"
"218","Europe","SUV",3,7225,65807,4.4,8,282,12,16,5379,113,195,"ES 330 4dr","Lexus"
"219","Asia","Sedan",1,3235,28755,3.3,6,225,20,29,3460,107,191,"GS 300 4dr","Lexus"
"220","Asia","Sedan",2,4101,36196,3,6,220,18,25,3649,110,189,"GS 430 4dr","Lexus"
"221","Asia","Sedan",2,4845,42232,4.3,8,300,18,23,3715,110,189,"GX 470","Lexus"
"222","Asia","SUV",3,457,39838,4.7,8,235,15,19,4740,110,188,"IS 300 4dr auto","Lexus"
"223","Asia","Sedan",2,32415,28611,3,6,215,18,24,3285,105,177,"IS 300 4dr manual","Lexus"
"224","Asia","Sedan",2,31045,27404,3,6,215,18,25,3255,105,177,"IS 300 SportCross","Lexus"
"225","Asia","Wagon",2,32455,28647,3,6,215,18,24,3410,105,177,"LS 430 4dr","Lexus"
"226","Asia","Sedan",2,5575,48583,4.3,8,290,18,25,3990,115,197,"LX 470","Lexus"
"227","Asia","SUV",3,648,56455,4.7,8,235,13,17,5590,112,193,"RX 330","Lexus"
"228","Asia","SUV",3,39195,34576,3.3,6,230,18,24,4065,107,186,"SC 430 convertible 2dr","Lexus"
"229","Asia","Sports",2,632,55063,4.3,8,300,18,23,3840,103,178,"Aviator Ultimate","Lincoln"
"230","USA","SUV",1,42915,39443,4.6,8,302,13,18,4834,114,193,"LS V6 Luxury 4dr","Lincoln"
"231","USA","Sedan",2,32495,29969,3,6,232,20,26,3681,115,194,"LS V6 Premium 4dr","Lincoln"
"232","USA","Sedan",2,36895,33929,3,6,232,20,26,3681,115,194,"LS V8 Sport 4dr","Lincoln"
"233","USA","Sedan",2,40095,36809,3.9,8,280,17,24,3768,115,194,"LS V8 Ultimate 4dr","Lincoln"
"234","USA","Sedan",2,43495,39869,3.9,8,280,17,24,3768,115,194,"Navigator Luxury","Lincoln"
"235","USA","SUV",3,52775,4636,5.4,8,300,13,18,5969,119,206,"Town Car Signature 4dr","Lincoln"
"236","USA","Sedan",2,41815,38418,4.6,8,239,17,25,4369,118,215,"Town Car Ultimate 4dr","Lincoln"
"237","USA","Sedan",2,44925,41217,4.6,8,239,17,25,4369,118,215,"Town Car Ultimate L 4dr","Lincoln"
"238","USA","Sedan",2,5047,46208,4.6,8,239,17,25,4474,124,221,"Cooper","MINI"
"239","Europe","Sedan",1,16999,15437,1.6,4,115,28,37,2524,97,143,"Cooper S","MINI"
"240","Europe","Sedan",1,19999,18137,1.6,4,163,25,34,2678,97,144,"B2300 SX Regular Cab","Mazda"
"241","Asia","Truck",2,1484,1407,2.3,4,143,24,29,2960,112,188,"B4000 SE Cab Plus","Mazda"
"242","Asia","Truck",3,2235,20482,4,6,207,15,19,3571,126,203,"MPV ES","Mazda"
"243","Asia","Sedan",1,2875,266,3,6,200,18,25,3812,112,188,"MX-5 Miata LS convertible 2dr","Mazda"
"244","Asia","Sports",2,25193,23285,1.8,4,142,23,28,2387,89,156,"MX-5 Miata convertible 2dr","Mazda"
"245","Asia","Sports",2,22388,20701,1.8,4,142,23,28,2387,89,156,"Mazda3 i 4dr","Mazda"
"246","Asia","Sedan",1,155,14525,2,4,148,26,34,2696,104,178,"Mazda3 s 4dr","Mazda"
"247","Asia","Sedan",1,172,15922,2.3,4,160,25,31,2762,104,179,"Mazda6 i 4dr","Mazda"
"248","Asia","Sedan",1,1927,17817,2.3,4,160,24,32,3042,105,187,"RX-8 4dr automatic","Mazda"
"249","Asia","Sports",2,257,23794,1.3,NA,197,18,25,3053,106,174,"RX-8 4dr manual","Mazda"
"250","Asia","Sports",2,272,25179,1.3,NA,238,18,24,3029,106,174,"Tribute DX 2.0","Mazda"
"251","Asia","SUV",3,21087,19742,2,4,130,22,25,3091,103,173,"C230 Sport 2dr","Mercedes-Benz"
"252","Europe","Sedan",2,2606,24249,1.8,4,189,22,30,3250,107,178,"C240","Mercedes-Benz"
"253","Europe","Wagon",2,3378,31466,2.6,6,168,19,25,3470,107,179,"C240 4dr","Mercedes-Benz"
"254","Europe","Sedan",2,3228,30071,2.6,6,168,20,25,3360,107,178,"C32 AMG 4dr","Mercedes-Benz"
"255","Europe","Sedan",3,3348,31187,2.6,6,168,19,25,3360,107,178,"C320 4dr","Mercedes-Benz"
"256","Europe","Sedan",2,5212,48522,3.2,6,349,16,21,3540,107,178,"C320 Sport 2dr","Mercedes-Benz"
"257","Europe","Sedan",2,3763,35046,3.2,6,215,20,26,3450,107,178,"C320 Sport 4dr","Mercedes-Benz"
"258","Europe","Sedan",3,3883,36162,3.2,6,215,19,27,3450,107,178,"CL500 2dr","Mercedes-Benz"
"259","Europe","Sedan",2,2837,26435,3.2,6,215,19,26,3430,107,178,"CL600 2dr","Mercedes-Benz"
"260","Europe","Sedan",2,3592,33456,3.2,6,215,19,26,3430,107,178,"CLK320 coupe 2dr (convertible)","Mercedes-Benz"
"261","Europe","Sedan",2,9482,88324,5,8,302,16,24,4085,114,196,"CLK500 coupe 2dr (convertible)","Mercedes-Benz"
"262","Europe","Sedan",2,12842,1196,5.5,12,493,13,19,4473,114,196,"E320","Mercedes-Benz"
"263","Europe","Sedan",2,45707,41966,3.2,6,215,20,26,3770,107,183,"E320 4dr","Mercedes-Benz"
"264","Europe","Sedan",2,528,49104,5,8,302,17,22,3585,107,183,"E500","Mercedes-Benz"
"265","Europe","Wagon",2,5067,47174,3.2,6,221,19,27,3966,112,190,"E500 4dr","Mercedes-Benz"
"266","Europe","Sedan",2,4817,44849,3.2,6,221,19,27,3635,112,190,"G500","Mercedes-Benz"
"267","Europe","Wagon",3,6067,56474,5,8,302,16,24,4230,112,190,"ML500","Mercedes-Benz"
"268","Europe","Sedan",2,5727,53382,5,8,302,16,20,3815,112,190,"S430 4dr","Mercedes-Benz"
"269","Europe","SUV",3,7687,7154,5,8,292,13,14,5423,112,186,"S500 4dr","Mercedes-Benz"
"270","Europe","SUV",3,4647,43268,5,8,288,14,17,4874,111,183,"SL500 convertible 2dr","Mercedes-Benz"
"271","Europe","Sedan",2,7432,69168,4.3,8,275,18,26,4160,122,203,"SL55 AMG 2dr","Mercedes-Benz"
"272","Europe","Sedan",3,8697,80939,5,8,302,16,24,4390,122,203,"SL600 convertible 2dr","Mercedes-Benz"
"273","Europe","Sports",2,9052,84325,5,8,302,16,23,4065,101,179,"SLK230 convertible 2dr","Mercedes-Benz"
"274","Europe","Sports",2,12177,113388,5.5,8,493,14,21,4235,101,179,"SLK32 AMG 2dr","Mercedes-Benz"
"275","Europe","Sports",2,12667,117854,5.5,12,493,13,19,4429,101,179,"Grand Marquis GS 4dr","Mercury"
"276","Europe","Sports",2,4032,37548,2.3,4,192,21,29,3055,95,158,"Grand Marquis LS Premium 4dr","Mercury"
"277","Europe","Sports",2,5617,52289,3.2,6,349,17,22,3220,95,158,"Grand Marquis LS Ultimate 4dr","Mercury"
"278","USA","Sedan",2,24695,23217,4.6,8,224,17,25,4052,115,212,"Marauder 4dr","Mercury"
"279","USA","Sedan",2,29595,27148,4.6,8,224,17,25,4052,115,212,"Monterey Luxury","Mercury"
"280","USA","Sedan",2,30895,28318,4.6,8,224,17,25,4052,115,212,"Mountaineer","Mercury"
"281","USA","Sedan",2,34495,31558,4.6,8,302,17,23,4195,115,212,"Sable GS","Mercury"
"282","USA","Sedan",1,33995,30846,4.2,6,201,16,23,4340,121,202,"Sable GS 4dr","Mercury"
"283","USA","SUV",1,29995,27317,4,6,210,16,21,4374,114,190,"Sable LS Premium 4dr","Mercury"
"284","USA","Wagon",1,22595,20748,3,6,155,19,26,3488,109,198,"Diamante LS 4dr","Mitsubishi"
"285","USA","Sedan",1,21595,19848,3,6,155,20,27,3308,109,200,"Eclipse GTS 2dr","Mitsubishi"
"286","USA","Sedan",1,23895,21918,3,6,201,19,26,3315,109,200,"Eclipse Spyder GT convertible 2dr","Mitsubishi"
"287","Asia","Sedan",1,29282,2725,3.5,6,205,18,25,3549,107,194,"Endeavor XLS","Mitsubishi"
"288","Asia","Sports",1,25092,23456,3,6,210,21,28,3241,101,177,"Galant ES 2.4L 4dr","Mitsubishi"
"289","Asia","Sports",1,26992,25218,3,6,210,21,28,3296,101,177,"Galant GTS 4dr","Mitsubishi"
"290","Asia","SUV",3,30492,2833,3.8,6,215,17,21,4134,109,190,"Lancer ES 4dr","Mitsubishi"
"291","Asia","Sedan",1,19312,17957,2.4,4,160,23,30,3351,108,191,"Lancer Evolution 4dr","Mitsubishi"
"292","Asia","Sedan",1,257,23883,3.8,6,230,18,26,3649,108,191,"Lancer LS 4dr","Mitsubishi"
"293","Asia","Sedan",1,14622,13751,2,4,120,25,31,2656,102,181,"Lancer OZ Rally 4dr auto","Mitsubishi"
"294","Asia","Sports",1,29562,27466,2,4,271,18,26,3263,103,179,"Lancer Sportback LS","Mitsubishi"
"295","Asia","Sedan",1,16722,15718,2,4,120,25,31,2795,102,181,"Montero XLS","Mitsubishi"
"296","Asia","Sedan",1,17232,16196,2,4,120,25,31,2744,102,181,"Outlander LS","Mitsubishi"
"297","Asia","Wagon",1,17495,16295,2.4,4,160,25,31,3020,102,181,"350Z Enthusiast convertible 2dr","Nissan"
"298","Asia","SUV",3,33112,30763,3.8,6,215,15,19,4718,110,190,"350Z coupe 2dr","Nissan"
"299","Asia","SUV",1,18892,17569,2.4,4,160,21,27,3240,103,179,"Altima S 4dr","Nissan"
"300","Asia","Sports",2,3439,31845,3.5,6,287,20,26,3428,104,169,"Altima SE 4dr","Nissan"
"301","Asia","Sports",2,2691,25203,3.5,6,287,20,26,3188,104,169,"Frontier King Cab XE V6","Nissan"
"302","Asia","Sedan",1,1924,1803,2.5,4,175,21,26,3039,110,192,"Maxima SE 4dr","Nissan"
"303","Asia","Sedan",1,2329,2158,3.5,6,245,21,26,3197,110,192,"Maxima SL 4dr","Nissan"
"304","Asia","Truck",3,19479,18253,3.3,6,180,17,20,3932,116,191,"Murano SL","Nissan"
"305","Asia","Sedan",1,2749,25182,3.5,6,265,20,28,3473,111,194,"Pathfinder Armada SE","Nissan"
"306","Asia","Sedan",1,2944,26966,3.5,6,265,20,28,3476,111,194,"Pathfinder SE","Nissan"
"307","Asia","Wagon",2,28739,273,3.5,6,245,20,25,3801,111,188,"Quest S","Nissan"
"308","Asia","SUV",1,3384,30815,5.6,8,305,13,19,5013,123,207,"Quest SE","Nissan"
"309","Asia","SUV",1,27339,25972,3.5,6,240,16,21,3871,106,183,"Sentra 1.8 4dr","Nissan"
"310","Asia","Sedan",1,2478,22958,3.5,6,240,19,26,4012,124,204,"Sentra 1.8 S 4dr","Nissan"
"311","Asia","Sedan",1,3278,30019,3.5,6,240,18,25,4175,124,204,"Sentra SE-R 4dr","Nissan"
"312","Asia","Sedan",1,1274,12205,1.8,4,126,28,35,2513,100,178,"Titan King Cab XE","Nissan"
"313","Asia","Sedan",1,1474,13747,1.8,4,126,28,35,2581,100,178,"Xterra XE V6","Nissan"
"314","Asia","Sedan",1,1764,16444,2.5,4,165,23,28,2761,100,178,"Alero GLS 2dr","Oldsmobile"
"315","Asia","Truck",3,2665,24926,5.6,8,305,14,18,5287,140,224,"Alero GX 2dr","Oldsmobile"
"316","Asia","SUV",1,20939,19512,3.3,6,180,17,20,3760,104,178,"Silhouette GL","Oldsmobile"
"317","USA","Sedan",1,23675,21485,3.4,6,170,20,29,3085,107,187,"Aztekt","Pontiac"
"318","USA","Sedan",1,18825,17642,2.2,4,140,24,32,2946,107,187,"Bonneville GXP 4dr","Pontiac"
"319","USA","Sedan",1,2879,2612,3.4,6,185,19,26,3948,120,201,"GTO 2dr","Pontiac"
"320","USA","SUV",1,21595,1981,3.4,6,185,19,26,3779,108,182,"Grand Am GT 2dr","Pontiac"
"321","USA","Sedan",1,35995,32997,4.6,8,275,17,20,3790,112,203,"Grand Prix GT1 4dr","Pontiac"
"322","USA","Sports",2,335,3071,5.7,8,340,16,20,3725,110,190,"Grand Prix GT2 4dr","Pontiac"
"323","USA","Sedan",1,2245,20595,3.4,6,175,20,29,3118,107,186,"Montana","Pontiac"
"324","USA","Sedan",1,22395,20545,3.8,6,200,20,30,3477,111,198,"Montana EWB","Pontiac"
"325","USA","Sedan",1,24295,22284,3.8,6,200,20,30,3484,111,198,"Sunfire 1SA 2dr","Pontiac"
"326","USA","Sedan",1,23845,21644,3.4,6,185,19,26,3803,112,187,"Sunfire 1SC 2dr","Pontiac"
"327","USA","Sedan",3,3137,28454,3.4,6,185,18,24,4431,121,201,"Vibe","Pontiac"
"328","USA","Sedan",1,15495,14375,2.2,4,140,24,33,2771,104,182,"911 Carrera 4S coupe 2dr (convert)","Porsche"
"329","USA","Sedan",1,17735,16369,2.2,4,140,24,33,2771,104,182,"911 Carrera convertible 2dr (coupe)","Porsche"
"330","USA","Wagon",2,17045,15973,1.8,4,130,29,36,2701,102,172,"911 GT2 2dr","Porsche"
"331","Europe","Sports",3,84165,72206,3.6,6,315,17,24,3240,93,175,"911 Targa coupe 2dr","Porsche"
"332","Europe","Sports",2,79165,69229,3.6,6,315,18,26,3135,93,175,"Boxster S convertible 2dr","Porsche"
"333","Europe","Sports",2,192465,17356,3.6,6,477,17,24,3131,93,175,"Boxster convertible 2dr","Porsche"
"334","Europe","Sports",2,76765,67128,3.6,6,315,18,26,3119,93,175,"Cayenne S","Porsche"
"335","Europe","Sports",2,52365,45766,3.2,6,258,18,26,2911,95,170,"9-3 Aero 4dr","Saab"
"336","Europe","Sports",2,43365,37886,2.7,6,228,20,29,2811,95,170,"9-3 Aero convertible 2dr","Saab"
"337","Europe","SUV",3,56665,49865,4.5,8,340,14,18,4950,112,188,"9-3 Arc Sport 4dr","Saab"
"338","Europe","Sedan",1,3336,31562,2,4,210,20,28,3175,105,183,"9-3 Arc convertible 2dr","Saab"
"339","Europe","Sedan",1,43175,40883,2,4,210,21,30,3700,105,182,"9-5 Aero","Saab"
"340","Europe","Sedan",1,3086,29269,2,4,210,20,28,3175,105,183,"9-5 Aero 4dr","Saab"
"341","Europe","Sedan",1,4067,3852,2,4,210,21,29,3480,105,182,"9-5 Arc 4dr","Saab"
"342","Europe","Wagon",1,40845,38376,2.3,4,250,19,29,3620,106,190,"Ion1 4dr","Saturn"
"343","Europe","Sedan",1,39465,37721,2.3,4,250,21,29,3470,106,190,"L300 2","Saturn"
"344","Europe","Sedan",1,35105,33011,2.3,4,220,21,29,3470,106,190,"L300-2 4dr","Saturn"
"345","USA","Sedan",1,10995,10319,2.2,4,140,26,35,2692,103,185,"VUE","Saturn"
"346","USA","Wagon",1,2356,21779,2.2,4,140,24,34,3109,107,190,"lon2 4dr","Saturn"
"347","USA","Sedan",1,2141,19801,3,6,182,20,28,3197,107,190,"lon2 quad coupe 2dr","Saturn"
"348","USA","SUV",3,20585,19238,2.2,4,143,21,26,3381,107,181,"lon3 4dr","Saturn"
"349","USA","Sedan",1,143,13393,2.2,4,140,26,35,2692,103,185,"lon3 quad coupe 2dr","Saturn"
"350","USA","Sedan",1,1485,13904,2.2,4,140,26,35,2751,103,185,"xA 4dr hatch","Scion"
"351","USA","Sedan",1,15825,14811,2.2,4,140,26,35,2692,103,185,"xB","Scion"
"352","USA","Sedan",1,1635,15299,2.2,4,140,26,35,2751,103,185,"Baja","Subaru"
"353","Asia","Sedan",1,12965,1234,1.5,4,108,32,38,2340,93,154,"Forester X","Subaru"
"354","Asia","Wagon",1,14165,1348,1.5,4,108,31,35,2425,98,155,"Impreza 2.5 RS 4dr","Subaru"
"355","Asia","Truck",3,2452,22304,2.5,4,165,21,28,3485,104,193,"Impreza WRX 4dr","Subaru"
"356","Asia","Wagon",3,21445,19646,2.5,4,165,21,28,3090,99,175,"Impreza WRX STi 4dr","Subaru"
"357","Asia","Sedan",3,19945,18399,2.5,4,165,22,28,2965,99,174,"Legacy GT 4dr","Subaru"
"358","Asia","Sports",3,25045,23022,2,4,227,20,27,3085,99,174,"Legacy L 4dr","Subaru"
"359","Asia","Sports",3,31545,2913,2.5,4,300,18,24,3263,100,174,"Outback","Subaru"
"360","Asia","Sedan",3,25645,23336,2.5,4,165,21,28,3395,104,184,"Outback H-6 VDC 4dr","Subaru"
"361","Asia","Sedan",3,20445,18713,2.5,4,165,21,28,3285,104,184,"Outback H6 4dr","Subaru"
"362","Asia","Wagon",3,23895,21773,2.5,4,165,21,28,3430,104,187,"Outback Limited Sedan 4dr","Subaru"
"363","Asia","Sedan",3,31545,28603,3,6,212,19,26,3630,104,184,"Aeno S 4dr","Suzuki"
"364","Asia","Sedan",3,29345,2666,3,6,212,19,26,3610,104,184,"Aerio LX 4dr","Suzuki"
"365","Asia","Sedan",3,27145,24687,2.5,4,165,20,27,3495,104,184,"Aerio SX","Suzuki"
"366","Asia","Sedan",1,12884,12719,2.3,4,155,25,31,2676,98,171,"Forenza EX 4dr","Suzuki"
"367","Asia","Sedan",1,145,14317,2.3,4,155,25,31,2676,98,171,"Forenza S 4dr","Suzuki"
"368","Asia","Wagon",3,16497,16291,2.3,4,155,24,29,2932,98,167,"Verona LX 4dr","Suzuki"
"369","Asia","Sedan",1,15568,15378,2,4,119,22,30,2756,102,177,"Vitara LX","Suzuki"
"370","Asia","Sedan",1,12269,12116,2,4,119,24,31,2701,102,177,"XL-7 EX","Suzuki"
"371","Asia","Sedan",1,17262,17053,2.5,6,155,20,27,3380,106,188,"4Runner SR5 V6","Toyota"
"372","Asia","SUV",3,17163,16949,2.5,6,165,19,22,3020,98,163,"Avalon XL 4dr","Toyota"
"373","Asia","SUV",1,23699,22307,2.7,6,185,18,22,3682,110,187,"Avalon XLS 4dr","Toyota"
"374","Asia","SUV",1,2771,24801,4,6,245,18,21,4035,110,189,"Camry LE 4dr","Toyota"
"375","Asia","Sedan",1,2656,23693,3,6,210,21,29,3417,107,192,"Camry LE V6 4dr","Toyota"
"376","Asia","Sedan",1,3092,27271,3,6,210,21,29,3439,107,192,"Camry Solara SE 2dr","Toyota"
"377","Asia","Sedan",1,1956,17558,2.4,4,157,24,33,3086,107,189,"Camry Solara SE V6 2dr","Toyota"
"378","Asia","Sedan",1,22775,20325,3,6,210,21,29,3296,107,189,"Camry Solara SLE V6 2dr","Toyota"
"379","Asia","Sedan",1,19635,17722,2.4,4,157,24,33,3175,107,193,"Camry XLE V6 4dr","Toyota"
"380","Asia","Sedan",1,21965,19819,3.3,6,225,20,29,3417,107,193,"Celica GT-S 2dr","Toyota"
"381","Asia","Sedan",1,2651,23908,3.3,6,225,20,29,3439,107,193,"Corolla CE 4dr","Toyota"
"382","Asia","Sedan",1,2592,23125,3,6,210,21,29,3362,107,189,"Corolla LE 4dr","Toyota"
"383","Asia","Sports",1,2257,20363,1.8,4,180,24,33,2500,102,171,"Corolla S 4dr","Toyota"
"384","Asia","Sedan",1,14085,13065,1.8,4,130,32,40,2502,102,178,"Echo 2dr auto","Toyota"
"385","Asia","Sedan",1,15295,13889,1.8,4,130,32,40,2524,102,178,"Echo 2dr manual","Toyota"
"386","Asia","Sedan",1,1503,1365,1.8,4,130,32,40,2524,102,178,"Echo 4dr","Toyota"
"387","Asia","Sedan",1,1156,10896,1.5,4,108,33,39,2085,93,163,"Highlander V6","Toyota"
"388","Asia","Sedan",1,1076,10144,1.5,4,108,35,43,2035,93,163,"Land Cruiser","Toyota"
"389","Asia","Sedan",1,1129,10642,1.5,4,108,35,43,2055,93,163,"MR2 Spyder convertible 2dr","Toyota"
"390","Asia","SUV",3,2793,24915,3.3,6,230,18,24,3935,107,185,"Matrix XR","Toyota"
"391","Asia","SUV",3,54765,47986,4.7,8,325,13,17,5390,112,193,"Prius 4dr (gas/electric)","Toyota"
"392","Asia","Sports",2,2513,22787,1.8,4,138,26,32,2195,97,153,"RAV4","Toyota"
"393","Asia","Wagon",1,16695,15156,1.8,4,130,29,36,2679,102,171,"Sequoia SR5","Toyota"
"394","Asia","Hybrid",1,2051,18926,1.5,4,110,59,51,2890,106,175,"Sienna CE","Toyota"
"395","Asia","SUV",3,2029,18553,2.4,4,161,22,27,3119,98,167,"Sienna XLE Limited","Toyota"
"396","Asia","SUV",3,35695,31827,4.7,8,240,14,17,5270,118,204,"Tacoma","Toyota"
"397","Asia","Sedan",1,23495,21198,3.3,6,230,19,27,4120,119,200,"Tundra Access Cab V6 SR5","Toyota"
"398","Asia","Sedan",1,288,2569,3.3,6,230,19,27,4165,119,200,"Tundra Regular Cab V6","Toyota"
"399","Asia","Truck",2,128,11879,2.4,4,142,22,27,2750,103,191,"GTI 1.8T 2dr hatch","Volkswagen"
"400","Asia","Truck",3,25935,2352,3.4,6,190,14,17,4435,128,218,"Golf GLS 4dr","Volkswagen"
"401","Asia","Truck",2,16495,14978,3.4,6,190,16,18,3925,128,218,"Jetta GL","Volkswagen"
"402","Europe","Sedan",1,19825,18109,1.8,4,180,24,31,2934,99,168,"Jetta GLI VR6 4dr","Volkswagen"
"403","Europe","Sedan",1,18715,17478,2,4,115,24,31,2897,99,165,"Jetta GLS TDI 4dr","Volkswagen"
"404","Europe","Wagon",1,19005,17427,2,4,115,24,30,3034,99,174,"New Beetle GLS 1.8T 2dr","Volkswagen"
"405","Europe","Sedan",1,23785,21686,2.8,6,200,21,30,3179,99,172,"New Beetle GLS convertible 2dr","Volkswagen"
"406","Europe","Sedan",1,21055,19638,1.9,4,100,38,46,3003,99,172,"Passat GLS 1.8T","Volkswagen"
"407","Europe","Sedan",1,21055,19638,1.8,4,150,24,31,2820,99,161,"Passat GLS 4dr","Volkswagen"
"408","Europe","Sedan",1,23215,21689,2,4,115,24,30,3082,99,161,"Passat GLX V6 4MOTION 4dr","Volkswagen"
"409","Europe","Wagon",1,24955,22801,1.8,4,170,22,31,3338,106,184,"Passat W8","Volkswagen"
"410","Europe","Sedan",1,23955,21898,1.8,4,170,22,31,3241,106,185,"Passat W8 4MOTION 4dr","Volkswagen"
"411","Europe","Sedan",1,3318,30583,2.8,6,190,19,26,3721,106,185,"Phaeton 4dr","Volkswagen"
"412","Europe","Wagon",1,40235,36956,4,8,270,18,25,4067,106,184,"Phaeton W12 4dr","Volkswagen"
"413","Europe","Sedan",1,39235,36052,4,8,270,18,25,3953,106,185,"Touareg V6","Volkswagen"
"414","Europe","Sedan",1,65,59912,4.2,8,335,16,22,5194,118,204,"C70 HPT convertible 2dr","Volvo"
"415","Europe","Sedan",1,75,6913,6,12,420,12,19,5399,118,204,"C70 LPT convertible 2dr","Volvo"
"416","Europe","SUV",3,35515,32243,3.2,6,220,15,20,5086,112,187,"S40 4dr","Volvo"
"417","Europe","Sedan",1,42565,40083,2.3,5,242,20,26,3450,105,186,"S60 2.5 4dr","Volvo"
"418","Europe","Sedan",1,40565,38203,2.4,5,197,21,28,3450,105,186,"S60 R 4dr","Volvo"
"419","Europe","Sedan",1,25135,23701,1.9,4,170,22,29,2767,101,178,"S60 T5 4dr","Volvo"
"420","Europe","Sedan",3,31745,29916,2.5,5,208,20,27,3903,107,180,"S80 2.5T 4dr","Volvo"
"421","Europe","Sedan",3,3756,35382,2.5,5,300,18,25,3571,107,181,"S80 2.9 4dr","Volvo"
"422","Europe","Sedan",1,34845,32902,2.3,5,247,20,28,3766,107,180,"S80 T6 4dr","Volvo"
"423","Europe","Sedan",3,37885,35688,2.5,5,194,20,27,3691,110,190,"V40","Volvo"
"424","Europe","Sedan",1,3773,35542,2.9,6,208,20,28,3576,110,190,"XC70","Volvo"
"425","Europe","Sedan",1,4521,42573,2.9,6,268,19,26,3653,110,190,"XC90 T6","Volvo"
